,Symptom
7335,Loss of consciousness and Nausea or vomiting
7336,Loss of consciousness and Numbness or tingling
7337,Loss of consciousness and Pain or discomfort
7338,Loss of coordination and Weakness (generalized)
7339,Loss of outside 1/3 of eyebrow (unintentional)
7340,Loss of outside 1/3 of eyebrow (unintentional) and Pulling out eyelashes
7341,"Loss of outside 1/3 of eyebrow (unintentional), Numbness or tingling"
7342,Loss of Smell (Anosmia)
7343,Loss of Speech
7344,Loss of Taste Sensation
7345,Loss of Temperature Sensation
7346,Loss of voice and Post nasal drip
7347,Loss of voice and Runny nose
7348,Loss of voice and Stiff neck
7349,"Loss of voice, Sore throat and Swollen tonsils"
7350,Low blood pressure and Muscle weakness
7351,Low blood pressure and Overweight
7352,Low blood pressure and Pale skin
7353,Low blood pressure and Shaking
7354,Low blood pressure and Slow heart rate (pulse)
7355,Low blood pressure and Weight gain
7356,Low blood pressure and Weight loss (unintentional)
7357,Low Blood Pressure Symptoms and Signs
7358,"Low blood pressure, Muscle cramps"
7359,"Low blood pressure, Rapid heart rate"
7360,Low Blood Sugar (Hypoglycemia Symptoms and Signs)
7361,Low Libido
7362,Low self-esteem and Nervousness
7363,"Low self-esteem, Overweight and Weight gain"
7364,Low Testosterone (Low T)
7365,Low Urine Output
7366,Lumbar Lordosis Symptoms and Signs
7367,Lumbar Spinal Stenosis Symptoms and Signs
7368,"Lump or bulge (Foot (top)), Lump or bulge (Foot (sole)) and Numbness or tingling"
7369,Lump or bulge and Bruising
7370,Lump or bulge and Metallic taste in mouth
7371,Lump or bulge and Muscle twitching (painless)
7372,Lump or bulge and Night sweats
7373,Lump or bulge and Pain
7374,Lump or bulge and Pulling out hair
7375,Lump or bulge and Pulsating sensation
7376,Lump or bulge and Shortness of breath
7377,Lump or bulge and Skin bumps
7378,Lump or bulge and Spots on tonsils
7379,Lump or bulge and Stiff neck
7380,Lump or bulge and Stiffness or decreased movement
7381,Lump or bulge and Sudden flash of lights
7382,Lump or bulge and Sunken soft spot on top of head
7383,Lump or bulge and Swollen gums
7384,Lump or bulge and Swollen lips
7385,Lump or bulge and Swollen tongue
7386,Lump or bulge and Swollen tonsils
7387,Lump or bulge and Thick saliva or mucus
7388,Lump or bulge and Thin (pencil) stools
7389,Lump or bulge and Throat tightness
7390,Lump or bulge and Unusual or suspicious mole
7391,Lump or bulge and Vaginal bleeding
7392,Lump or bulge and Vaginal bleeding between periods
7393,Lump or bulge and Warm to touch
7394,"Lump or bulge, Bulging veins and Numbness or tingling"
7395,"Lump or bulge, Curved spine and Pain"
7396,"Lump or bulge, Mood swings, Numbness or tingling and Personality changes"
7397,"Lump or bulge, Morning joint stiffness and Stiffness or decreased movement"
7398,"Lump or bulge, Mouth sores and Spots on throat"
7399,"Lump or bulge, Mouth sores and White patches inside mouth"
7400,"Lump or bulge, Mouth sores, Pain or discomfort and Swollen lips"
7401,"Lump or bulge, Mouth sores, Red spots and Sore tongue"
7402,"Lump or bulge, Mouth sores, Sore tongue and Swollen tongue"
7403,"Lump or bulge, Muscle cramps"
7404,"Lump or bulge, Muscle cramps, Numbness or tingling"
7405,"Lump or bulge, Muscle cramps, Numbness or tingling, Pain"
7406,"Lump or bulge, Muscle cramps, Stiff neck, Visible pulsations"
7407,"Lump or bulge, Muscle twitching (painless) and Pain or discomfort"
7408,"Lump or bulge, Nosebleed and Pain or discomfort"
7409,"Lump or bulge, Numbness or tingling and Swelling"
7410,"Lump or bulge, Numbness or tingling and Tenderness to touch"
7411,"Lump or bulge, Numbness or tingling, Pain or discomfort and Skin redness"
7412,"Lump or bulge, Numbness or tingling, Swelling and Swollen lips"
7413,"Lump or bulge, Numbness or tingling, Swelling and Visible deformity"
7414,"Lump or bulge, Numbness or tingling, Swelling and Warm to touch"
7415,"Lump or bulge, Pain and Stiff neck"
7416,"Lump or bulge, Pain and Swelling"
7417,"Lump or bulge, Pain and Swollen gums"
7418,"Lump or bulge, Pain and Tenderness to touch"
7419,"Lump or bulge, Pain during erection and Pain with sexual intercourse (male)"
7420,"Lump or bulge, Pain or discomfort and Post nasal drip"
7421,"Lump or bulge, Pain or discomfort and Shaking hands or tremor"
7422,"Lump or bulge, Pain or discomfort and Strange smell or taste"
7423,"Lump or bulge, Pain or discomfort and Unable to grip (hands)"
7424,"Lump or bulge, Pain or discomfort and Unable to move leg"
7425,"Lump or bulge, Pain or discomfort and Warm to touch"
7426,"Lump or bulge, Pain or discomfort and White patches on tongue"
7427,"Lump or bulge, Pain or discomfort, Painful bowel movements and Swelling"
7428,"Lump or bulge, Pain or discomfort, Pulsating sensation and Swelling"
7429,"Lump or bulge, Pain or discomfort, Shaking hands or tremor and Swelling"
7430,"Lump or bulge, Pain or discomfort, Skin redness and Swelling"
7431,"Lump or bulge, Pain or discomfort, Stiff neck and Swelling"
7432,"Lump or bulge, Pain or discomfort, Stiff neck and Visible deformity"
7433,"Lump or bulge, Pain or discomfort, Swelling and Tearing in one eye"
7434,"Lump or bulge, Pain or discomfort, Swelling and Tenderness to touch"
7435,"Lump or bulge, Pain or discomfort, Swelling and Visible deformity"
7436,"Lump or bulge, Pain or discomfort, Swelling and Weakness"
7437,"Lump or bulge, Pain or discomfort, Swollen lips and Tenderness to touch"
7438,"Lump or bulge, Pain or discomfort, Tenderness to touch and Vaginal odor"
7439,"Lump or bulge, Pain or discomfort, Visible deformity and Warm to touch"
7440,"Lump or bulge, Pain with sexual intercourse (female) and Vaginal dryness"
7441,"Lump or bulge, Pain with sexual intercourse (male) and Tenderness to touch"
7442,"Lump or bulge, Pain, Palpitations"
7443,"Lump or bulge, Pain, Protruding rectal material and Swelling"
7444,"Lump or bulge, Pain, Skin bumps and Tenderness to touch"
7445,"Lump or bulge, Pain, Sore tongue and Soreness or burning inside of mouth"
7446,"Lump or bulge, Pain, Stiff neck and Tenderness to touch"
7447,"Lump or bulge, Pain, Swelling and Warm to touch"
7448,"Lump or bulge, Pain, Swollen gums and Tenderness to touch"
7449,"Lump or bulge, Pain, Tenderness to touch and Head tilts"
7450,"Lump or bulge, Pain, Tenderness to touch and Tightness"
7451,"Lump or bulge, Painful red lump on eyelid and Scaley skin on eyelids"
7452,"Lump or bulge, Pressure or fullness, Tenderness to touch and Vaginal discharge"
7453,"Lump or bulge, Protruding rectal material and Thin (pencil) stools"
7454,"Lump or bulge, Red or black spots on fingernails and Swelling"
7455,"Lump or bulge, Short and wide neck"
7456,"Lump or bulge, Short, wide neck and Visible deformity"
7457,"Lump or bulge, Skin rash and Swelling"
7458,"Lump or bulge, Sore tongue, Swollen tongue and Tenderness to touch"
7459,"Lump or bulge, Sore tongue, Swollen tongue and White patches on tongue"
7460,"Lump or bulge, Soreness or burning inside of mouth and Swelling"
7461,"Lump or bulge, Stiff neck and Swollen tonsils"
7462,"Lump or bulge, Stiff neck and Tenderness to touch"
7463,"Lump or bulge, Stiff neck and Tilts head to look at something"
7464,"Lump or bulge, Swelling (Knee (patella)), Swelling (Shin) and Swelling (Calf)"
7465,"Lump or bulge, Swelling and Swollen lips"
7466,"Lump or bulge, Swelling and Tenderness to touch"
7467,"Lump or bulge, Swelling and Warm to touch"
7468,"Lump or bulge, Swelling, Swollen lips and Tenderness to touch"
7469,"Lump or bulge, Swelling, Tenderness to touch and Warm to touch"
7470,"Lump or bulge, Swelling, Visible deformity and Warm to touch"
7471,"Lump or bulge, Swelling, Warm to touch and Weakness"
7472,"Lump or bulge, Swollen lips and White patches inside mouth"
7473,"Lump or bulge, Tenderness to touch and Visible deformity"
7474,"Lump or bulge, Tenderness to touch and Warm to touch"
7475,"Lump or bulge, Testicles shrinkage and Testicular pain"
7476,"Lump or bulge, Testicular pain and Unable to obtain or maintain erection"
7477,"Lump or bulge, Upward curving (spooning) of nails"
7478,"Lump or bulge, Visible bugs or parasites and Warm to touch"
7479,"Lump or bulge, Visible deformity (Chest) and Visible deformity (Back)"
7480,"Lump or bulge, Visible deformity (Chest) and Visible deformity (Chest (sternum))"
7481,"Lump or bulge, Visible deformity and Warm to touch"
7482,Lump or Mass on Gums
7483,Lung Cancer Symptoms and Signs
7484,Lupus Symptoms and Signs
7485,Ly-Lz
7486,Lyme Disease Symptoms and Signs
7487,Lymph Node Swelling (Swollen Lymph Nodes)
7488,Lymphedema Symptoms and Signs
7489,Lymphocytic Colitis Symptoms and Signs
7490,Ma-Mh
7491,Mi-Mq
7492,Mr-Mx
7493,My-Mz
7494,Ma-Mh
7495,Macular Degeneration Symptoms and Signs
7496,Makeup Allergy Symptoms and Signs
7497,Malaria Symptoms and Signs
7498,Male Breast Cancer Symptoms and Signs
7499,Male Menopause Symptoms and Signs
7500,Malignant Hyperthermia Symptoms and Signs
7501,Malnutrition Symptoms and Signs
7502,Mania Symptoms and Signs
7503,Mantle Cell Lymphoma Symptoms and Signs
7504,Marfan Syndrome Symptoms and Signs
7505,Mastitis Symptoms and Signs
7506,Mastoiditis Symptoms and Signs
7507,Measles (Rubeola) Symptoms and Signs
7508,Medial Collateral Ligament Injury Symptoms
7509,Meibomian Cyst (Chalazion Symptoms and Signs)
7510,Melanoma Symptoms and Signs
7511,Melanosis Coli Symptoms and Signs
7512,MELAS Syndrome Symptoms and Signs
7513,Melasma Symptoms and Signs
7514,Melioidosis Symptoms and Signs
7515,Memory Loss
7516,Memory problems and Nausea or vomiting
7517,Memory problems and Pulling out hair
7518,Memory problems and Sadness
7519,Memory problems and Shaking hands
7520,"Memory problems, Numbness or tingling, Poor concentration and Slow thinking"
7521,"Memory problems, Poor concentration and Slow thinking"
7522,Meniere's Disease Symptoms and Signs
7523,Meningitis Symptoms and Signs
7524,Meningococcemia Symptoms and Signs
7525,Menopause Symptoms and Signs
7526,Menorrhagia
7527,Menstrual Cramps
7528,Menstruation Symptoms and Signs
7529,Meralgia Paresthetica Symptoms and Signs
7530,Mercury Poisoning Symptoms and Signs
7531,Mesothelioma Symptoms and Signs
7532,Metabolic Syndrome Symptoms and Signs
7533,Metallic taste and Mouth sores
7534,Metallic taste and Nausea or vomiting
7535,Metallic taste and Numbness or tingling
7536,Metallic taste and Pain
7537,Metallic taste and Sore throat
7538,Metallic taste and Strange smell or taste
7539,Metallic taste and Taste of acid in mouth
7540,Metallic taste and Thick saliva
7541,Metallic taste and Upset stomach
7542,Metallic taste in mouth and Muffled voice
7543,Metallic taste in mouth and Muscle cramps or spasms (painful)
7544,Metallic taste in mouth and Noisy breathing
7545,Metallic taste in mouth and Nosebleed
7546,Metallic taste in mouth and Rapid speech
7547,Metallic taste in mouth and Red (strawberry) tongue
7548,Metallic taste in mouth and Red gums
7549,Metallic taste in mouth and Red spots
7550,Metallic taste in mouth and Sore tongue
7551,Metallic taste in mouth and Swelling
7552,Metallic taste in mouth and Swollen tongue
7553,Metallic taste in mouth and Tenderness to touch
7554,"Metallic taste in mouth, Numbness or tingling and Pain or discomfort"
7555,Metallic Taste in the Mouth
7556,"Metallic taste, Nausea or vomiting and Pain"
7557,"Metallic taste, Numbness or tingling and Bad taste in mouth"
7558,"Metallic taste, Numbness or tingling, Slurred speech and Sore tongue"
7559,"Metallic taste, Pain and Upset stomach"
7560,Methemoglobinemia Symptoms and Signs
7561,Mi-Mq
7562,Microscopic Colitis Symptoms and Signs
7563,Middle Ear Infection Symptoms and Signs
7564,Middle East Respiratory Syndrome (MERS) Symptoms
7565,Migraine Symptoms and Signs
7566,Miscarriage Symptoms and Signs
7567,Misophonia Symptoms and Signs
7568,Missed Menstrual Period
7569,Missed or late menstrual period and Nasal congestion
7570,Missed or late menstrual period and Overweight
7571,Missed or late menstrual period and Painful bowel movements
7572,Missed or late menstrual period and Pulsating sensation
7573,"Missed or late menstrual period, Pressure or fullness and Vaginal discharge"
7574,"Missed or late menstrual period, Vaginal bleeding and Vaginal discharge"
7575,Missed period and Mood swings
7576,Missed period and Nosebleed
7577,Missed period and Pain
7578,Missed period and Protruding vaginal material
7579,Missed period and Skin rash
7580,Missed period and Sore throat
7581,Missed period and Stomach cramps
7582,Missed period and Upset stomach
7583,Missed period and Vaginal discharge
7584,Missed period and Vaginal dryness
7585,Missed period and Vaginal odor
7586,Missed period and Weight gain
7587,"Missed period, Multiple bruises of different ages, Painful intercourse"
7588,"Missed period, Muscle cramps, No periods, Pain"
7589,"Missed period, Muscle cramps, Painful intercourse"
7590,"Missed period, Nausea or vomiting and Stomach cramps"
7591,"Missed period, Nausea or vomiting and Upset stomach"
7592,"Missed period, No menstrual periods and Vaginal discharge"
7593,"Missed period, Painful intercourse"
7594,"Missed period, Vaginal discharge and Vaginal odor"
7595,Mitochondrial Disease Symptoms and Signs
7596,Mitral Valve Prolapse Symptoms and Signs
7597,Mixed Connective Tissue Disease Symptoms and Signs
7598,Mold Exposure Symptoms and Signs
7599,Molluscum Contagiosum Symptoms and Signs
7600,Monkeypox Symptoms and Signs
7601,Mood Swings
7602,Mood swings and Nausea or vomiting
7603,Mood swings and Pain or discomfort
7604,Mood swings and Restless or irritability
7605,"Mood swings, Poor concentration and Slow thinking"
7606,Morgellons Disease Symptoms and Signs
7607,Morning alcohol drinking (eye-opener)
7608,Morning joint stiffness and Swelling
7609,"Morning joint stiffness, Muscle twitching (painless) and Shaking hands or tremor"
7610,"Morning joint stiffness, Pain or discomfort, Unable to grip (hands) and Weakness"
7611,Morning Sickness Symptoms and Signs
7612,Morning stiffness and Shaking hands
7613,"Morning stiffness, Numbness or tingling, Swelling, Unable to grip"
7614,"Morning stiffness, Numbness or tingling, Unable to grip, Weakness"
7615,Morton's Neuroma Symptoms and Signs
7616,Motion Sickness Symptoms and Signs
7617,Motor Tics (Tic)
7618,Mouth Sores
7619,Mouth sores and Nausea or vomiting
7620,Mouth sores and Night sweats
7621,Mouth sores and Nosebleed
7622,Mouth sores and Skin bumps
7623,Mouth sores and Skin rash
7624,Mouth sores and Strange smell or taste
7625,Mouth sores and Swollen tongue
7626,Mouth sores and Swollen tonsils
7627,Mouth sores and Taste of acid in mouth
7628,Mouth sores and Thick saliva or mucus
7629,Mouth sores and Upset stomach
7630,"Mouth sores, Pain or discomfort and Red spots"
7631,"Mouth sores, Pain or discomfort, Spots on throat and Spots on tonsils"
7632,"Mouth sores, Pain, Sore tongue and Swelling"
7633,"Mouth sores, Red (strawberry) tongue, Red gums and Sore tongue"
7634,"Mouth sores, Red (strawberry) tongue, Red spots and Sore tongue"
7635,"Mouth sores, Red gums and Red spots"
7636,"Mouth sores, Red gums and Swollen gums"
7637,"Mouth sores, Red gums, Red spots and Sore tongue"
7638,"Mouth sores, Red spots and Sore tongue"
7639,"Mouth sores, Red spots and Spots on throat"
7640,"Mouth sores, Red spots and Spots on tonsils"
7641,"Mouth sores, Red spots and Swollen lips"
7642,"Mouth sores, Red spots, Soreness or burning inside of mouth and Swelling"
7643,"Mouth sores, Sore tongue and Upset stomach"
7644,"Mouth sores, Sore tongue, Spots on tonsils and Swelling"
7645,"Mouth sores, Sore tongue, Swollen tongue and Teeth do not fit like they used to"
7646,"Mouth sores, Swollen lips and White patches inside mouth"
